,count,cluster,terms
14,664,31,"Index(['day', 'time', 'right', 'better', 'best', 'tweet', 'exit', 'get', 'sb',
       'see', 'first', 'incid', 'great', 'say', 'like', '2', 'nb', 'go', 'one',
       'make'],
      dtype='object')"
29,650,49,"Index(['photo', 'think', 'need', 'start', 'check', 'nice', 'get', 'video',
       'amp', 'new', 'one', 'time', 'agre', 'make', 'would', 'dont', 'like',
       'im', 'go', 'someth'],
      dtype='object')"
11,632,52,"Index(['back', 'ukrain', 'play', 'got', 'ask', 'ta', 'get', 'point', 'go',
       'like', 'time', 'one', 'game', 'russia', 'see', 'come', 'peopl', 'day',
       'putin', 'read'],
      dtype='object')"
6,632,24,"Index(['amp', 'love', 'big', 'alway', 'friday', 'one', 'come', 'get', 'ye',
       'look', 'like', 'back', 'see', 'work', 'us', 'would', 'make', 'thank',
       'go', 'good'],
      dtype='object')"
27,609,43,"Index(['look', 'work', 'say', 'watch', 'play', 'like', 'that', 'go', 'good',
       'one', 'wordl', 'know', 'time', 'get', 'see', 'im', 'forward', 'make',
       'mean', 'game'],
      dtype='object')"
48,600,21,"Index(['got', 'game', 'end', 'great', 'work', 'get', 'go', 'help', 'time',
       'like', 'day', 'make', 'send', 'still', 'see', 'one', 'ta', 'amp',
       'month', 'win'],
      dtype='object')"
7,597,19,"Index(['back', 'putin', 'na', 'make', 'great', 'come', 'gon', 'get', 'day',
       'amp', 'wan', 'russian', 'head', 'see', 'go', 'ukrain', 'us', 'like',
       'war', 'much'],
      dtype='object')"
4,583,16,"Index(['make', 'know', 'shit', 'right', 'birthday', 'like', 'may', 'get',
       'peopl', 'us', 'go', 'want', 'think', 'amp', 'happi', 'use', 'dont',
       'let', 'im', 'one'],
      dtype='object')"
28,582,44,"Index(['never', 'say', 'thank', 'first', 'week', 'birthday', 'happi', 'see',
       'march', 'interest', 'get', 'day', 'would', 'go', 'come', 'much',
       'good', 'great', 'love', 'like'],
      dtype='object')"
34,576,54,"Index(['ukrain', 'morn', 'way', 'feel', 'right', 'like', 'man', 'russian',
       'go', 'day', 'good', 'putin', 'amp', 'help', 'would', 'see', 'fight',
       'say', 'love', 'russia'],
      dtype='object')"
38,563,59,"Index(['make', 'even', 'help', 'beauti', 'yet', 'free', 'na', 'get', 'like',
       'go', 'read', 'amp', 'wan', 'know', 'one', 'work', 'im', 'day', 'still',
       'need'],
      dtype='object')"
39,553,36,"Index(['ukrain', 'day', 'wait', 'cant', 'also', 'tweet', 'ta', 'get', 'one',
       'see', 'got', 'like', 'help', 'russian', 'go', 'amp', 'world', 'stand',
       'ukrainian', 'say'],
      dtype='object')"
50,548,27,"Index(['im', 'game', 'war', 'birthday', 'happi', 'realli', 'hit', 'absolut',
       'get', 'go', 'day', 'mani', 'good', 'like', 'one', 'look', 'listen',
       'today', 'love', 'sure'],
      dtype='object')"
30,536,13,"Index(['say', 'na', 'year', 'state', 'man', 'gon', 'old', 'fan', 'stop', 'go',
       'back', 'portland', 'get', 'polic', 'like', 'port', 'amp', 'one',
       'know', 'take'],
      dtype='object')"
32,536,55,"Index(['would', 'morn', 'still', 'make', 'get', 'like', 'love', 'what', 'real',
       'one', 'friend', 'know', 'tri', 'use', 'oh', 'day', 'go', 'say',
       'wordl', '255'],
      dtype='object')"
15,514,23,"Index(['go', 'stop', 'wonder', 'pleas', 'alway', 'get', 'check', 'like',
       'time', 'back', 'wrong', 'one', 'peopl', 'way', 'day', 'take', 'us',
       'work', 'even', 'na'],
      dtype='object')"
35,504,33,"Index(['look', 'right', 'way', 'follow', 'like', 'come', 'ye', 'wordl', 'amp',
       'forward', 'back', 'properti', 'compani', 'lincoln', 'jobhire', 'go',
       '251', 'know', 'say', 'see'],
      dtype='object')"
52,481,6,"Index(['go', 'see', 'birthday', 'happi', 'yall', 'get', 'moment', 'today',
       'let', 'though', 'like', 'time', 'day', 'back', 'one', 'peopl', 'love',
       'good', 'watch', 'need'],
      dtype='object')"
12,480,58,"Index(['love', 'man', 'alway', 'rememb', 'amaz', 'black', 'polic', 'portland',
       'like', 'amp', 'port', 'se', 'see', 'st', 'thank', 'one', 'back',
       'realli', 'oh', 'live'],
      dtype='object')"
53,469,45,"Index(['peopl', 'thing', 'call', 'two', 'birthday', 'stay', 'amaz', 'get',
       'happi', 'safe', 'one', 'year', 'day', 'today', 'make', 'see', 'right',
       'need', 'good', 'go'],
      dtype='object')"
10,418,51,"Index(['na', 'man', 'gon', 'miss', 'pleas', 'wan', 'nice', 'one', 'like',
       'see', 'go', 'aid', 'support', 'get', 'life', 'dont', 'know', 'amp',
       'good', 'need'],
      dtype='object')"
