,count,cluster,terms
42,59,48,"Index(['trump', 'biden', 'support', 'elect', 'vote', 'get', 'would', 'gop',
       'say', 'bad', 'lost', 'wow', 'coronaviru', 'democrat', 'amp', 'ever',
       'presid', 'ballot', 'russian', 'joe'],
      dtype='object')"
24,58,19,"Index(['trump', 'elect', 'head', 'biden', 'could', 'famili', 'sinc', 'georgia',
       'get', 'work', 'vote', 'state', 'republican', 'need', 'fraud', 'crime',
       'penc', 'year', 'secret', 'us'],
      dtype='object')"
59,56,15,"Index(['trump', 'vote', 'million', 'elect', 'biden', 'ballot', 'like', 'one',
       'ass', 'make', 'cabinet', 'pardon', '4', 'fraud', 'rest', 'year',
       'republican', 'dont', 'peopl', 'america'],
      dtype='object')"
15,56,30,"Index(['trump', 'elect', 'state', 'court', 'voter', 'biden', 'hear', 'fraud',
       'america', 'person', 'evid', 'suprem', 'hate', 'vote', 'amp', 'want',
       'peopl', '2020', 'eye', 'american'],
      dtype='object')"
5,54,33,"Index(['trump', 'biden', 'vaccin', 'like', 'amp', 'would', 'need', 'team',
       'tax', 'peopl', 'presid', 'elect', 'claim', 'us', 'deal', 'jan',
       'russian', 'lost', 'get', 'famili'],
      dtype='object')"
50,52,42,"Index(['trump', 'biden', 'lost', 'believ', 'follow', 'pick', 'he', 'care',
       'fool', 'come', 'lie', 'make', 'elect', 'idiot', 'creat', 'go', 'barr',
       'look', 'job', 'want'],
      dtype='object')"
58,51,29,"Index(['trump', 'elect', 'biden', 'traitor', 'care', 'peopl', 'presid',
       'happen', 'plan', 'guy', 'year', 'court', 'must', 'na', 'state',
       'countri', 'amp', 'cant', 'say', 'go'],
      dtype='object')"
30,51,22,"Index(['trump', 'tell', 'report', 'evid', 'make', 'elect', 'realli', 'fraud',
       'biden', 'leav', 'charg', 'know', 'peopl', 'presid', 'amp', 'he',
       'american', 'could', 'court', 'like'],
      dtype='object')"
34,50,24,"Index(['trump', 'barr', 'biden', 'crimin', 'believ', 'peopl', 'american',
       'lose', 'protect', 'know', 'say', 'ag', 'put', 'like', 'atlant',
       'everyth', 'good', 'amp', 'elect', 'look'],
      dtype='object')"
14,50,23,"Index(['trump', 'elect', 'biden', 'back', 'get', 'gop', 'tax', 'pay',
       'support', 'presid', 'amp', 'believ', 'work', 'news', 'rig', 'peopl',
       'four', 'past', 'countri', 'lost'],
      dtype='object')"
33,49,37,"Index(['trump', 'elect', 'loser', 'like', 'russia', 'amp', 'look', 'money',
       'make', 'wait', 'biden', 'busi', 'would', 'back', 'day', 'ladi', 'noth',
       'fascist', 'say', 'usa'],
      dtype='object')"
32,48,4,"Index(['trump', 'biden', 'elect', 'like', 'go', 'steal', 'fight', 'call',
       'stand', 'week', 'presid', '2020', 'peopl', 'think', 'much', 'parti',
       'republican', 'good', 'vote', 'ever'],
      dtype='object')"
20,47,8,"Index(['trump', 'elect', 'biden', 'presid', 'one', 'like', 'want', 'vote',
       'run', 'way', 'find', 'traitor', 'amp', 'hear', 'back', 'peopl',
       'anyth', 'noth', 'us', 'work'],
      dtype='object')"
57,47,56,"Index(['trump', 'give', 'year', 'biden', 'like', 'ballot', 'dont', 'jan',
       'elect', 'read', 'take', 'peopl', 'still', 'mail', 'im', 'us', 'one',
       'need', 'think', 'long'],
      dtype='object')"
38,46,27,"Index(['trump', 'biden', 'go', 'elect', 'hunter', 'would', 'joe', 'hand',
       'pardon', 'hold', 'like', 'tell', 'take', 'say', 'presid', 'offic', 'b',
       'not', 'better', 'text'],
      dtype='object')"
25,45,55,"Index(['trump', 'biden', 'elect', 'covid', 'know', 'hunter', 'month', 'world',
       'amp', 'vaccin', 'investig', 'result', 'state', 'peopl', 'lost',
       'murder', 'presid', 'may', 'must', 'joe'],
      dtype='object')"
29,45,25,"Index(['trump', 'elect', 'back', 'putin', 'power', 'presid', 'u', 'biden',
       'peopl', 'stay', 'would', 'mean', 'state', 'covid', 'get', 'secur',
       'held', 'allianc', '1st', 'want'],
      dtype='object')"
55,43,28,"Index(['trump', 'elect', 'china', 'presid', 'get', 'biden', 'senat', 'media',
       'fraudul', 'way', 'us', 'big', 'kushner', 'not', 'can', 'kick', 'hous',
       'million', 'gop', 'play'],
      dtype='object')"
10,39,0,"Index(['trump', 'vote', 'million', 'elect', 'biden', 'elector', 'colleg',
       'fraud', 'dont', 'us', 'presid', 'like', 'joe', 'tweet', 'think',
       'evid', 'peopl', 'time', 'ask', 'hey'],
      dtype='object')"
13,38,59,"Index(['trump', 'tell', 'presid', 'donald', 'want', 'state', 'j', 'unit',
       'tri', 'evil', 'elect', 'biden', 'get', 'christma', 'god', 'peopl',
       'america', 'like', 'vote', 'make'],
      dtype='object')"
