,count,cluster,terms
22,220,24,"Index(['call', 'like', 'get', 'would', 'go', 'time', 'know', 'that', 'name',
       'amp', 'everyon', 'got', 'say', 'realli', 'long', 'take', 'make',
       'love', 'peopl', 'someon'],
      dtype='object')"
23,204,28,"Index(['man', 'get', 'know', 'go', 'realli', 'love', 'like', 'im', 'got',
       'back', 'take', 'one', 'yall', 'think', 'work', 'old', 'good', 'u',
       'life', 'still'],
      dtype='object')"
50,200,49,"Index(['pleas', 'help', 'get', 'love', 'need', 'like', 'keep', 'watch', 'im',
       'tri', 'great', 'listen', 'share', 'know', 'dont', 'one', 'give', 'go',
       'would', 'want'],
      dtype='object')"
3,196,5,"Index(['wait', 'cant', 'see', 'next', 'get', 'watch', 'waitcant', 'one',
       'love', 'kid', 'camp', 'stop', 'new', 'tell', 'week', 'incred', 'back',
       'believ', 'got', 'game'],
      dtype='object')"
17,195,19,"Index(['well', 'done', 'wellwell', 'hope', 'thank', 'said', 'go', 'team',
       'one', 'like', 'soon', 'realli', 'love', 'long', 'back', 'time',
       'someon', 'still', 'make', 'sleep'],
      dtype='object')"
46,180,30,"Index(['alway', 'absolut', 'got', 'love', 'one', 'like', 'amaz', 'good',
       'well', 'person', 'knew', 'hope', 'beauti', 'first', 'time', 'say',
       'deserv', 'wonder', 'amp', 'guy'],
      dtype='object')"
1,179,32,"Index(['better', 'feel', 'get', 'know', 'like', 'see', 'need', 'good', 'make',
       'day', 'much', 'hope', 'love', 'peopl', 'one', 'got', 'even',
       'betterbetter', 'help', 'way'],
      dtype='object')"
28,169,43,"Index(['oh', 'look', 'like', 'yeah', 'get', 'realli', 'time', 'ohoh', 'god',
       'good', 'that', 'someon', 'love', 'shit', 'im', 'ye', 'right', 'ive',
       'come', 'godoh'],
      dtype='object')"
8,166,54,"Index(['video', 'tiktokpost', 'new', 'watch', 'videopost', 'offici', 'san',
       'californiapost', 'youtub', 'music', 'viapost', 'lo', 'he', 'atlanta',
       'check', 'big', 'ass', 'rock', 'first', 'via'],
      dtype='object')"
34,154,51,"Index(['ye', 'yeye', 'say', 'like', 'would', 'ive', 'go', 'look', 'thank',
       'get', 'school', 'love', 'sinc', 'meant', 'see', 'im', 'good', 'guy',
       'lolye', 'let'],
      dtype='object')"
10,151,47,"Index(['morn', 'time', 'run', 'earli', 'got', 'great', 'go', 'mornmorn', 'day',
       'like', 'get', 'listen', 'one', 'im', 'readi', 'news', 'need', 'peopl',
       'thursday', 'love'],
      dtype='object')"
42,151,55,"Index(['end', 'day', 'get', 'go', 'way', 'new', 'think', 'start', 'like',
       'today', 'back', 'love', 'mani', 'work', 'juli', 'want', 'hope', 'got',
       'tri', 'one'],
      dtype='object')"
25,146,50,"Index(['bad', 'like', 'get', 'feel', 'good', 'one', 'realli', 'think', 'fuck',
       'never', 'didnt', 'take', 'first', 'time', 'love', 'want', 'start',
       'black', 'week', 'year'],
      dtype='object')"
49,119,42,"Index(['nice', 'one', 'work', 'like', 'get', 'us', 'today', 'realli', 'alway',
       'look', 'nicenice', 'play', 'said', 'see', 'even', 'round', 'great',
       'hope', 'outsid', 'daynice'],
      dtype='object')"
56,118,35,"Index(['drink', 'brew', 'dont', 'get', 'drive', 'day', 'coffe', 'like',
       'water', 'go', 'know', 'beer', 'one', 'eat', 'ale', 'amp', 'even',
       'would', 'craft', 'stop'],
      dtype='object')"
54,117,37,"Index(['real', 'get', 'right', 'go', 'know', 'like', 'life', 'support', 'one',
       'take', 'day', 'job', 'make', 'said', 'dont', 'love', 'look', 'show',
       'mani', 'person'],
      dtype='object')"
57,108,21,"Index(['olymp', 'event', 'amp', 'gold', 'watch', 'athlet', 'time', 'countri',
       'team', 'like', 'medal', 'good', 'get', 'tokyo', 'open', 'start',
       'sport', 'usa', 'tokyo2020', 'see'],
      dtype='object')"
58,98,41,"Index(['lmaolmao', 'lmao', 'get', 'go', 'dont', 'im', 'job', 'time', 'need',
       'realli', 'guy', 'amp', 'us', 'take', 'w', 'mad', 'fuck', 'littl',
       'nigga', 'say'],
      dtype='object')"
26,97,25,"Index(['bring', 'back', 'home', 'peopl', 'go', 'get', 'hope', 'time', 'make',
       'better', 'way', 'ill', 'best', 'today', 'even', 'dont', 'start',
       'open', 'number', 'come'],
      dtype='object')"
18,69,13,"Index(['ok', 'hope', 'like', 'okok', 'dont', 'realli', 'im', 'get', 'tri',
       'go', 'lolok', 'would', 'xok', 'best', 'rude', 'theyr', 'need', 'feel',
       'better', 'he'],
      dtype='object')"
59,11,9,"Index(['shore', 'jersey', 'north', 'amp', 'ive', 'park', 'state', 'magney',
       'judg', 'review', 'misscheck', 'post', 'minnesota', 'day', 'beach',
       'speculfirst', 'idea', 'tri', 'essay', 'odd'],
      dtype='object')"
