,count,cluster,terms
58,651,35,"Index(['start', 'need', 'state', 'fuck', 'movi', 'way', 'one', 'go', 'like',
       'right', 'long', 'lol', 'year', 'get', 'new', 'see', 'even', 'day',
       'back', 'im'],
      dtype='object')"
27,649,37,"Index(['like', 'morn', 'thank', 'friend', 'good', 'christma', 'feel', 'happi',
       'new', 'would', 'year', 'sb', 'nb', 'exit', 'dont', 'port', 'polic',
       'incid', 'time', 'day'],
      dtype='object')"
15,649,23,"Index(['year', 'good', 'need', 'better', 'wish', 'christma', 'get', 'last',
       'feel', 'like', 'new', 'next', 'time', 'amp', 'merri', 'nigga', 'happi',
       'snow', 'everyon', 'much'],
      dtype='object')"
38,644,18,"Index(['like', 'make', 'christma', 'man', 'care', 'merri', 'pleas', 'good',
       'peopl', 'two', 'year', 'get', 'one', 'day', 'dont', 'time', 'someon',
       'look', 'go', 'im'],
      dtype='object')"
43,644,20,"Index(['got', 'test', 'peopl', 'covid', 'jobhire', 'greystar', 'thought', 'ta',
       'big', 'posit', 'christma', 'year', 'like', 'school', 'get', 'one',
       'servic', 'pretti', 'still', 'know'],
      dtype='object')"
54,640,56,"Index(['eve', 'christma', 'peopl', '2022', 'morn', 'thank', 'tweet', 'like',
       'year', 'hope', 'good', 'love', 'much', '2021', 'get', 'happi', 'one',
       'amp', 'see', 'thankthank'],
      dtype='object')"
47,605,57,"Index(['2021', 'thank', 'year', 'famili', 'top', 'thought', 'tonight', 'one',
       'right', 'go', 'end', 'lol', 'see', 'new', 'lollol', 'good', 'day',
       'last', 'amp', 'time'],
      dtype='object')"
55,590,41,"Index(['got', 'feel', 'live', 'know', 'like', 'happen', 'ta', 'get', 'go',
       'time', 'ye', 'year', 'one', 'dont', 'better', 'still', 'even', 'make',
       'much', 'need'],
      dtype='object')"
25,577,36,"Index(['best', 'alway', 'world', 'morn', 'fuck', 'year', 'christma', 'old',
       'long', 'ever', 'one', 'like', 'time', 'day', 'get', 'see', 'go',
       'love', 'thing', 'make'],
      dtype='object')"
45,573,32,"Index(['best', 'cant', 'say', 'see', 'read', 'game', 'beauti', 'bless', 'year',
       'wait', 'get', 'book', 'live', 'time', 'christma', 'new', 'go', 'one',
       'like', 'amp'],
      dtype='object')"
24,550,38,"Index(['would', 'love', 'morn', 'follow', 'time', 'hell', 'great', 'sorri',
       'hope', 'two', 'christma', 'like', 'year', 'one', 'go', 'good', 'day',
       'get', 'pleas', 'copi'],
      dtype='object')"
37,549,49,"Index(['think', 'covid', 'right', 'get', 'birthday', 'end', 'would', 'peopl',
       'go', 'tri', 'like', 'year', 'know', 'test', 'could', 'one', 'us', 'im',
       'time', 'hit'],
      dtype='object')"
59,543,50,"Index(['make', 'everyon', 'na', 'christma', 'fuck', 'gon', 'he', 'like',
       'never', 'year', 'help', 'tweet', 'hope', 'get', 'go', 'merri', 'one',
       'love', 'amp', 'new'],
      dtype='object')"
28,543,42,"Index(['look', 'back', 'like', 'around', 'pleas', 'season', 'get', 'go',
       'year', 'ye', 'move', 'new', 'us', 'time', 'would', 'need', 'dont',
       'christma', 'love', 'good'],
      dtype='object')"
29,533,12,"Index(['come', 'thing', 'great', 'run', 'ill', 'ask', 'like', 'buy', 'one',
       'back', 'love', 'get', 'new', 'go', 'christma', 'know', 'year', 'time',
       'day', 'im'],
      dtype='object')"
49,513,48,"Index(['day', 'let', 'christma', 'go', 'madden', 'box', 'get', 'point', 'john',
       'set', 'mean', 'mine', 'hard', 'year', 'game', 'like', 'see', 'love',
       'know', 'one'],
      dtype='object')"
42,500,31,"Index(['christma', 'famili', 'make', 'man', 'mean', 'put', 'merri', 'friend',
       'nft', 'time', 'ye', 'like', 'one', 'hope', 'love', 'get', 'even',
       'day', 'see', 'would'],
      dtype='object')"
17,500,51,"Index(['would', 'year', 'right', 'enjoy', 'stay', 'like', 'one', 'christma',
       'roll', 'matter', 'back', 'make', 'time', 'say', 'last', 'ago', 'never',
       'want', 'day', 'think'],
      dtype='object')"
11,497,52,"Index(['like', 'man', 'walk', 'bowl', 'better', 'feel', 'lol', 'ya', 'winter',
       'get', 'nigga', 'im', 'lollol', 'go', 'think', '2022', 'way', 'day',
       'one', 'lot'],
      dtype='object')"
7,483,34,"Index(['like', 'want', 'much', 'turn', 'white', 'betti', 'go', 'get', 'feel',
       'see', 'one', 'year', 'im', 'dont', 'fun', 'peopl', 'take', 'back',
       'would', 'time'],
      dtype='object')"
6,469,58,"Index(['work', 'na', 'come', 'gon', 'favorit', 'get', 'go', 'nice', 'readi',
       'wan', 'time', 'year', 'like', 'back', 'one', 'new', 'day', 'im',
       'awesom', 'see'],
      dtype='object')"
