,count,cluster,terms
15,73,23,"Index(['alway', 'wrong', 'ok', 'never', 'u', 'right', 'predict', 'hope',
       'vibe', 'job', 'look', 'get', 'see', 'first', 'full', 'two', 'everyon',
       'thing', 'let', 'stop'],
      dtype='object')"
50,70,27,"Index(['realli', 'listen', 'heard', 'episod', 'never', 'get', 'show', 'music',
       'day', 'one', 'good', 'time', 'would', 'talk', 'fall', 'fupa', 'woman',
       'situat', 'great', 'appreci'],
      dtype='object')"
6,68,24,"Index(['big', 'time', 'brother', 'get', 'year', 'us', 'littl', 'next', 'open',
       'tonight', 'look', 'got', 'today', 'last', 'mental', 'tri', 'fan',
       'also', 'peopl', 'idabel'],
      dtype='object')"
28,66,44,"Index(['say', 'stay', 'book', 'anyon', 'back', 'noth', 'next', 'correct',
       'mean', 'amaz', 'right', 'polit', '100', 'saywould', 'peopl', 'support',
       'ruin', 'trump', 'watch', 'incompet'],
      dtype='object')"
40,66,7,"Index(['that', 'im', 'dont', 'time', 'ever', 'like', 'thought', 'boy', 'feel',
       'bad', 'awesom', 'know', 'joke', 'realli', 'never', 'film', 'argument',
       'made', 'he', 'say'],
      dtype='object')"
34,65,54,"Index(['man', 'manman', 'im', 'time', 'miss', 'sorri', 'need', 'good', 'great',
       'away', 'emerg', 'dont', 'take', 'fuck', 'cant', 'say', 'wish',
       'matter', 'doesnt', 'he'],
      dtype='object')"
48,64,21,"Index(['help', 'send', 'better', 'much', 'russian', 'someth', 'someon',
       'countri', 'way', 'amp', 'sit', 'make', 'get', 'money', 'cant', 'time',
       'safe', 'close', 'vid', 'fight'],
      dtype='object')"
39,64,36,"Index(['wait', 'cant', 'see', 'get', 'come', 'us', 'rest', 'season', 'ca',
       'need', 'year', 'still', 'cooki', 'mg', 'guy', 'birthday', 'line',
       'talent', 'hope', 'let'],
      dtype='object')"
53,64,45,"Index(['thing', 'peopl', 'right', 'get', 'whole', 'countri', 'one', 'day',
       'go', 'say', 'mani', 'gay', 'happen', 'realiz', 'lot', 'still', 'good',
       'see', 'like', 'let'],
      dtype='object')"
38,58,59,"Index(['beauti', 'day', 'love', 'today', 'happi', 'hope', 'look', 'morn',
       'amp', 'see', 'thing', 'bewitchingli', 'light', 'still', 'derbyshir',
       'mani', 'ladi', 'valentin', 'watch', 'full'],
      dtype='object')"
14,57,31,"Index(['best', 'team', 'great', 'friend', 'one', 'wish', 'game', 'world',
       'player', 'coach', 'way', 'better', 'bestbest', 'ever', 'ya', 'decis',
       'tri', 'watch', 'top', 'yall'],
      dtype='object')"
51,54,0,"Index(['happi', 'birthday', 'day', 'friday', 'place', 'keep', 'weekend',
       'happihappi', 'love', 'fridayhappi', 'n', 'let', 'rais', 'water',
       'everyon', 'saturday', 'alic', 'amaz', 'morn', 'meet'],
      dtype='object')"
58,50,29,"Index(['nato', 'russia', 'ukrain', 'putin', 'agre', 'member', 'war', 'would',
       'time', 'hope', 'bad', 'border', 'countri', 'attack', 'done', 'end',
       'defend', 'right', 'america', 'forc'],
      dtype='object')"
10,44,51,"Index(['nice', 'dog', 'see', 'hear', 'new', 'get', 'u', 'also', 'nicenice',
       'let', 'walk', 'one', 'junior', 'day', 'put', 'kill', 'face', 'better',
       'stuffnice', 'help'],
      dtype='object')"
59,37,32,"Index(['side', 'new', 'get', 'york', 'jersey', 'eb', 'would', 'go', 'see',
       'almost', 'putin', 'wrong', 'russian', 'want', 'covid', 'think',
       'construct', 'recess', 'becom', 'could'],
      dtype='object')"
23,35,34,"Index(['though', 'love', 'even', 'good', 'know', 'polici', 'want', 'backyard',
       'pretend', 'like', 'respect', 'never', 'women', 'alway', 'seen', 'put',
       'thank', 'pretti', 'worri', 'famili'],
      dtype='object')"
35,35,33,"Index(['wordl', '251', '252', '46wordl', '250', '36', 'hard', 'worldl', '56',
       'one', '26wordl', '36wordl', '249', 'streak', '26', 'second', 'lie',
       'na', 'x6gon', 'x'],
      dtype='object')"
47,32,41,"Index(['movi', 'film', 'horror', 'watch', 'make', 'like', 'star', 'mystic',
       'would', 'everett', 'saw', 'still', '2', 'also', 'new', 'look', 'short',
       'festiv', 'romford', 'get'],
      dtype='object')"
57,30,12,"Index(['babi', 'like', 'back', 'know', 'ireland', 'popular', 'name', '2021',
       'reveal', 'cso', 'get', 'eat', 'bed', 'karen', 'that', 'make',
       'central', 'babifight', 'live', 'dublin'],
      dtype='object')"
54,27,11,"Index(['beach', 'photo', 'day', 'daytona', 'pitch', 'waikiki', 'team', 'long',
       'palm', 'view', 'ocean', 'today', 'vacat', 'miss', 'midwest', 'miami',
       'hope', 'game', 'floridapost', 'see'],
      dtype='object')"
