,count,cluster,terms
31,68,11,"Index(['miss', 'mani', 'last', 'dont', 'use', 'tri', 'would', 'come', 'night',
       'much', 'w', 'crack', 'back', 'realli', 'go', 'know', 'like', 'one',
       'love', 'women'],
      dtype='object')"
36,65,12,"Index(['birthday', 'happi', 'day', 'miss', 'hope', 'friday', 'us', 'get',
       'women', 'great', 'stay', 'weekend', 'ladi', 'dayhappi', 'enjoy',
       'wish', 'could', 'regular', 'see', 'boy'],
      dtype='object')"
7,65,40,"Index(['real', 'life', 'see', 'make', 'know', 'go', 'get', 'thing', 'hope',
       'live', 'good', 'come', 'like', 'got', 'call', 'ass', 'run', 'give',
       'talk', 'may'],
      dtype='object')"
55,62,19,"Index(['report', 'snow', 'inch', 'co', 'pm', 'earthquak', 'via', 'utc',
       'train', 'ca', 'spotter', 'malibu', 'bank', 'privat', 'weather',
       'would', 'mst', '5', 'cst', 'rain'],
      dtype='object')"
33,62,27,"Index(['music', 'tweet', 'like', 'great', 'make', 'tell', 'artist', 'amp',
       'say', 'want', 'dj', 'one', 'everi', 'delet', 'contract', 'that', 'get',
       'peopl', 'mistak', 'liter'],
      dtype='object')"
47,60,21,"Index(['trump', 'support', 'would', 'lie', 'believ', 'never', 'god', 'presid',
       'much', 'tell', 'appl', 'one', 'truth', 'name', 'obama', 'tim',
       'donald', 'polici', 'trumptrump', 'know'],
      dtype='object')"
56,57,10,"Index(['oh', 'like', 'im', 'got', 'one', 'go', 'god', 'fuck', 'hell', 'thing',
       'omg', 'love', 'think', 'soon', 'sexist', 'amp', 'happi', 'look',
       'food', 'shit'],
      dtype='object')"
46,57,57,"Index(['exit', 'eb', 'queen', 'clear', 'nb', 'incid', 'rte', 'ave', 'delay',
       'back', 'i90', 'wb', 'dr', 'direct', 'weather', 'sky', '49', 'sb',
       'humid', 'wind'],
      dtype='object')"
52,56,42,"Index(['fan', 'like', 'team', 'win', 'go', 'good', 'car', 'chang', 'footbal',
       'im', 'guy', 'made', 'alway', 'w', 'time', 'amp', 'year', 'game',
       'know', '1'],
      dtype='object')"
42,55,20,"Index(['dog', 'walk', 'omg', 'dogomg', 'feed', 'get', 'back', 'shit', 'done',
       'day', 'dude', 'one', 'like', 'watch', 'im', 'cute', 'amp', 'babi',
       'come', 'kitchen'],
      dtype='object')"
10,55,43,"Index(['ye', 'said', 'would', 'need', 'go', 'make', 'exactli', 'thank', 'want',
       'year', '5', 'tri', 'rig', 'ya', 'probabl', 'might', 'get', 'keep',
       'two', 'resid'],
      dtype='object')"
58,54,51,"Index(['beauti', 'day', 'love', 'thank', 'beautihappi', 'night', 'play',
       'beautibeauti', 'morn', 'woman', 'got', 'alway', 'cake', 'teacher', 'w',
       'see', 'friend', 'cypress', 'tuesday', 'today'],
      dtype='object')"
57,53,44,"Index(['yall', 'dont', 'yallyall', 'know', 'got', 'peopl', 'wonder', 'day',
       'best', 'ass', 'friday', 'ladi', 'draw', 'put', 'shit', 'back', 'love',
       'give', 'win', 'phone'],
      dtype='object')"
39,42,16,"Index(['photo', 'post', 'video', 'photopost', 'spring', 'floridapost',
       'postpost', 'one', 'time', 'californiapost', 'look', 'artist',
       'arkansatiti', 'captainmarvel', 'return', 'could', 'busi', 'super',
       'takenhi', 'ever'],
      dtype='object')"
19,42,55,"Index(['agre', 'like', 'go', 'one', 'dont', 'need', 'agreagre', 'see', 'said',
       'peopl', 'panel', 'agrecould', 'someth', 'great', 'look', 'never',
       'good', 'would', 'whole', 'opinion'],
      dtype='object')"
30,40,53,"Index(['tomorrow', 'see', 'night', 'go', 'amp', 'im', 'like', 'saturday',
       'day', 'tonight', 'still', 'cancel', 'good', 'save', 'today', 'sleep',
       'cant', 'rebook', 'dalla', 'ticket'],
      dtype='object')"
54,40,5,"Index(['ill', 'hit', 'go', 'make', 'time', 'person', 'parti', 'get', 'last',
       'car', 'minut', 'got', '2', 'back', 'one', 'know', 'whole', 'home',
       'take', 'look'],
      dtype='object')"
59,36,0,"Index(['london', 'unit', 'manchest', 'kingdom', 'print', 'apprentic',
       'greater', 'glasgow', 'talk', 'around', 'citi', 'e', '4', 'bu', 'thank',
       'uk', '2', 'moka', 'c', 'm2'],
      dtype='object')"
48,23,52,"Index(['trend', 'unit', 'clip', 'statetrend', 'philadelphiaus',
       'sheffieldlaram', 'lasvegatrend', 'statecharger', 'sandiegooohlala',
       'philadelphiajustmyluck', 'philadelphiadeardunph', 'sb123',
       'liverpoolafterlif', 'sydneyusfirst', 'product', 'die', '2', 'tri',
       '72', 'hour'],
      dtype='object')"
